ID;COURSESUBJECT;GRADEVALUE;YEARINCOURSE;SEMESTERINCOURSE;CREDITSINCOURSE
ATI-1992386;CONTABILIDADE GERAL E INTRODUTORIA;RI;2021;3;4
ATI-1992386;INFORMÁTICA E SOCIEDADE;RI;2021;3;2
ATI-1992386;CONTABILIDADE GERAL E INTRODUTORIA;RI;2022;1;4
ATI-1992386;PRINCÍPIOS DE ADMINISTRAÇÃO I;0;2021;1;4
ATI-1992386;PRINCÍPIOS DE ADMINISTRAÇÃO I;0;2023;1;4
ATI-1992386;CÁLCULO DE PROBABILIDADES I;RI;2022;3;4
ATI-1992386;CONTABILIDADE GERAL E INTRODUTORIA;RI;2023;1;4
ATI-1992386;CONTABILIDADE GERAL E INTRODUTORIA;RI;2022;3;4
ATI-1992386;CÁLCULO DE PROBABILIDADES I;RI;2023;1;4
ATI-1992386;ORGANIZAÇÃO DE COMPUTADORES;RI;2022;3;4
ATI-1992386;REDES DE COMPUTADORES;63;2015;1;4
ATI-1992386;CIRCUITOS DIGITAIS;66;2015;1;4
ATI-1992386;LINGUA INGLESA INSTRUMENTAL III;84;2015;1;4
ATI-1992386;ORIENTAÇÃO A OBJETOS;69;2015;3;4
ATI-1992386;ORGANIZAÇÃO DE COMPUTADORES;TM;2016;3;4
ATI-1992386;LABORATÓRIO DE QUÍMICA;69;2010;1;2
ATI-1992386;INTRODUÇÃO ÀS CIÊNCIAS EXATAS;100;2009;1;2
ATI-1992386;QUÍMICA FUNDAMENTAL;65;2009;3;4
ATI-1992386;LABORATÓRIO DE CIÊNCIAS;68;2010;3;4
ATI-1992386;LABORATÓRIO DE PROGRAMAÇÃO WEB;87;2011;3;2
ATI-1992386;INTRODUÇÃO À ENGENHARIA COMPUTACIONAL;61;2011;3;2
ATI-1992386;FÍSICA I;60;2013;3;4
ATI-1992386;CIRCUITOS LÓGICOS;71;2014;1;4
ATI-1992386;INTRODUÇÃO À ENGENHARIA MECÂNICA;90;2014;1;2
ATI-1992386;LABORATÓRIO DE FÍSICA I;79;2014;3;2
ATI-1992386;PLANILHAS ELETRÔNICAS;90;2014;3;1
ATI-1992386;ALGORITMOS;75;2010;3;4
ATI-1992386;LABORATÓRIO DE PROGRAMAÇÃO;75;2010;3;2
ATI-1992386;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;60;2011;1;4
ATI-1992386;CÁLCULO I;73;2012;1;4
ATI-1992386;LINGUA INGLESA INSTRUMENTAL I;89;2012;1;4
ATI-1992386;LINGUA INGLESA INSTRUMENTAL II;88;2012;3;4
ATI-1992386;ESTRUTURA DE DADOS;60;2013;1;4
ATI-1992386;LABORATÓRIO DE PROGRAMAÇÃO II;85;2013;1;2
ATI-1992386;CÁLCULO II;TM;2016;3;4
ATI-1992386;SISTEMAS OPERACIONAIS;65;2016;3;4
ATI-1992386;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;RI;2016;3;4
ATI-1992386;MODELAGEM DE SISTEMAS;RI;2016;3;4
ATI-1992386;ESTRUTURA DE DADOS II;TM;2018;1;4
ATI-1992386;ORGANIZAÇÃO DE COMPUTADORES;RI;2018;1;4
ATI-1992386;CALCULO II;18;2018;1;4
ATI-1992386;PRINCÍPIOS DE ADMINISTRAÇÃO I;TM;2018;1;4
ATI-1992386;CALCULO II;TM;2018;3;4
ATI-1992386;INFORMÁTICA E SOCIEDADE;TM;2018;3;2
ATI-1992386;ADMINISTRAÇÃO DE REDES;77;2017;1;4
ATI-1992386;PRINCÍPIOS DE ADMINISTRAÇÃO I;52;2017;1;4
ATI-1992386;ASPECTOS LEGAIS DA INFORMÁTICA;68;2017;1;4
ATI-1992386;LABORATORIO DE REDES DE COMPUTADORES;TM;2017;1;2
ATI-1992386;CÁLCULO II;25;2017;1;4
ATI-1992386;INTRODUÇÃO A SISTEMAS DE INFORMAÇÃO;80;2016;3;4
ATI-1992386;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;2;2017;1;4
ATI-1992386;TEORIA DOS GRAFOS;RI;2017;3;4
ATI-1992386;CONTABILIDADE GERAL E INTRODUTORIA;RI;2017;3;4
ATI-1992386;INFORMÁTICA E SOCIEDADE;49;2017;3;2
ATI-1992386;CALCULO II;36;2017;3;4
ATI-1992386;INFORMÁTICA E SOCIEDADE;47;2019;3;2
ATI-1992386;CALCULO II;8;2019;3;4
ATI-1992386;ORGANIZAÇÃO DE COMPUTADORES;RI;2021;1;4
ATI-1992386;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;RI;2020;3;4
ATI-1992386;CALCULO II;78;2020;1;4
ATI-3967445;ALGORITMOS;31;2021;1;4
ATI-3967445;LABORATÓRIO DE PROGRAMAÇÃO;7;2022;1;2
ATI-3967445;LABORATÓRIO DE PROGRAMAÇÃO;TM;2021;3;2
ATI-3967445;ALGORITMOS;TM;2021;3;4
ATI-3967445;CALCULO II;RI;2021;3;4
ATI-3967445;ALGORITMOS;RI;2022;1;4
ATI-3967445;LABORATÓRIO DE PROGRAMAÇÃO;31;2021;1;2
ATI-3967445;INTRODUÇÃO A SISTEMAS DE INFORMAÇÃO;RI;2021;3;4
ATI-3967445;PRINCÍPIOS DE ADMINISTRAÇÃO I;48;2022;1;4
ATI-3967445;ALGORITMOS;71;2022;4;4
ATI-3967445;ESTRUTURA DE DADOS;RI;2023;1;4
ATI-3967445;LABORATÓRIO DE PROGRAMAÇÃO;71;2022;4;2
ATI-3967445;LABORATÓRIO DE PROGRAMAÇÃO WEB;RI;2023;1;2
